Time,CPU,GPU Temp,GPU,RAM
0,22.1,31,2.3,63.6
1,10.8,31,2.3,63.6
2,19.5,31,2.3,63.8
4,7.9,31,2.3,64.1
5,19.5,31,2.3,64.0
6,2.7,31,2.3,64.0
7,9.2,31,2.3,63.9
8,7.7,31,2.3,63.9
9,0.0,31,2.3,63.7
10,8.2,31,2.3,63.7
11,7.2,31,2.3,63.7
12,2.7,31,2.3,63.7
13,8.5,31,2.3,63.6
14,20.7,31,2.3,63.6
15,15.2,31,2.3,63.5
16,11.1,31,2.3,63.5
17,8.4,31,2.3,63.5
18,9.9,31,2.3,63.5
19,11.1,31,2.3,63.5
20,11.8,31,2.3,63.5
21,16.1,31,2.3,63.5
22,21.8,31,2.3,63.5
23,13.2,31,2.3,63.5
24,11.2,31,2.3,63.7
25,21.0,31,2.3,63.6
26,5.3,31,2.3,63.6
27,9.5,31,2.3,63.6
28,10.5,31,2.3,63.6
29,33.8,31,2.3,63.9
30,13.6,31,2.3,64.2
31,10.0,31,2.3,64.1
32,2.9,31,2.3,64.1
33,10.7,31,2.3,64.1
34,9.9,31,2.3,64.1
35,4.0,31,2.3,64.1
36,5.2,31,2.3,64.0
37,4.8,31,2.3,64.0
38,31.1,31,2.3,63.9
39,7.7,31,2.3,63.9
40,5.6,31,2.3,63.9
41,21.4,31,2.3,63.9
42,0.0,31,2.3,63.9
43,5.3,31,2.3,63.9
44,4.1,31,2.3,63.9
45,19.3,31,2.3,64.0
46,14.8,31,2.3,64.0
47,20.3,31,2.3,63.9
48,9.2,31,2.3,63.9
49,12.8,31,2.3,63.9
50,12.5,31,2.3,64.3
51,9.7,31,2.3,63.9
52,7.0,31,2.3,64.0
53,37.8,31,2.3,64.0
54,18.8,31,2.3,64.0
55,13.2,31,2.3,63.9
56,16.0,31,2.3,64.0
57,2.7,31,2.3,63.9
58,20.2,31,2.3,64.0
59,15.3,31,2.3,64.0
60,1.4,31,2.3,63.8
61,6.8,31,2.3,63.8
62,4.3,31,2.3,63.8
84,1.5,31,2.3,63.6
94,34.9,31,2.3,62.3
95,12.8,31,2.3,62.2
96,4.7,31,2.3,62.4
